Station.Code,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,pH,F_pH,Turb,F_Turb
sfbrbwq,1/2/20 15:15, ,12.3,0,43.05,0,27.7,0,95.2,0,8.6,0,1.87,0,7.9,0,13,0
sfbrbwq,1/2/20 15:30, ,12.4,0,43.04,0,27.7,0,94.7,0,8.5,0,1.9,0,7.9,0,11,0
sfbrbwq,1/2/20 15:45, ,12.3,0,43.03,0,27.7,0,95.3,0,8.6,0,1.88,0,7.9,0,6,0
sfbrbwq,1/2/20 16:00, ,12.3,0,43.02,0,27.7,0,95.3,0,8.6,0,1.9,0,7.9,0,7,0
sfbrbwq,1/2/20 16:15, ,12.3,0,43.02,0,27.7,0,95,0,8.5,0,1.9,0,7.9,0,9,0
sfbrbwq,1/2/20 16:30, ,12.3,0,42.98,0,27.6,0,95,0,8.6,0,1.95,0,7.9,0,6,0
sfbrbwq,1/2/20 16:45, ,12.4,0,43,0,27.6,0,95,0,8.5,0,1.93,0,7.9,0,7,0
sfbrbwq,1/2/20 17:00, ,12.3,0,42.99,0,27.6,0,94.9,0,8.5,0,1.91,0,7.9,0,7,0
sfbrbwq,1/2/20 17:15, ,12.4,0,43.02,0,27.7,0,95.1,0,8.6,0,1.89,0,7.9,0,10,0
sfbrbwq,1/2/20 17:30, ,12.3,0,43,0,27.6,0,94.8,0,8.5,0,1.89,0,7.9,0,6,0
sfbrbwq,1/2/20 17:45, ,12.4,0,43.02,0,27.7,0,95.4,0,8.6,0,1.89,0,7.9,0,8,0
sfbrbwq,1/2/20 18:00, ,12.4,0,43.03,0,27.7,0,95.5,0,8.6,0,1.86,0,8,0,8,0
sfbrbwq,1/2/20 18:15, ,12.4,0,43.02,0,27.7,0,95.6,0,8.6,0,1.81,0,8,0,7,0
sfbrbwq,1/2/20 18:30, ,12.4,0,43.02,0,27.7,0,95.1,0,8.6,0,1.78,0,7.9,0,8,0
sfbrbwq,1/2/20 18:45, ,12.4,0,43.01,0,27.7,0,95.2,0,8.6,0,1.73,0,8,0,7,0
sfbrbwq,1/2/20 19:00, ,12.3,0,43.01,0,27.6,0,95.6,0,8.6,0,1.66,0,8,0,7,0
sfbrbwq,1/2/20 19:15, ,12.3,0,43.02,0,27.7,0,95.7,0,8.6,0,1.63,0,8,0,7,0
sfbrbwq,1/2/20 19:30, ,12.3,0,43.02,0,27.7,0,96.5,0,8.7,0,1.59,0,8,0,8,0
sfbrbwq,1/2/20 19:45, ,12.3,0,43.01,0,27.6,0,95.6,0,8.6,0,1.54,0,8,0,8,0
sfbrbwq,1/2/20 20:00, ,12.3,0,42.96,0,27.6,0,94.7,0,8.5,0,1.49,0,7.9,0,8,0
sfbrbwq,1/2/20 20:15, ,12.3,0,42.91,0,27.6,0,94.4,0,8.5,0,1.45,0,7.9,0,7,0
sfbrbwq,1/2/20 20:30, ,12.3,0,42.9,0,27.6,0,94.1,0,8.5,0,1.4,0,7.9,0,8,0
sfbrbwq,1/2/20 20:45, ,12.3,0,42.91,0,27.6,0,93.9,0,8.5,0,1.35,0,7.9,0,10,0
sfbrbwq,1/2/20 21:00, ,12.3,0,42.91,0,27.6,0,93.9,0,8.5,0,1.28,0,7.9,0,11,0
sfbrbwq,1/2/20 21:15, ,12.2,0,42.88,0,27.6,0,93.4,0,8.4,0,1.25,0,7.9,0,10,0
sfbrbwq,1/2/20 21:30, ,12.2,0,42.87,0,27.5,0,92.9,0,8.4,0,1.24,0,7.9,0,8,0
